Employee ID,Gender,Age,Department,Job Role,Date of Joining,Salary (BGN),Performance Rating,Absenteeism Rate,Engagement Score,Education Level,Years in Current Role,Years at Company,Promotion in Last 2 Years,Overtime Hours per Week,Training Hours per Year,Office Location,Bonus Received in Last Year
6962,Male,24,Internal Audit,Internal Auditor,09/02/2019,5900,3,0.17,2.8,PhD,4,5,No,3,69,Burgas,Yes
8828,Male,52,Mortgage Services,Mortgage Advisor,12/25/2023,6600,5,0.05,4.7,Bachelor's,3,0,Yes,19,78,Varna,Yes
5535,Female,25,Security,Security Analyst,12/21/2019,5200,2,0.47,1.1,High School,6,4,Yes,5,19,Plovdiv,No
7483,Female,38,IT,Software Developer,4/30/2024,7400,4,0.06,3.4,High School,1,0,Yes,7,18,Ruse,Yes
3682,Male,44,Security,Cybersecurity Specialist,09/12/2011,4100,2,0.4,2.6,Bachelor's,9,13,Yes,7,62,Ruse,Yes
1265,Male,36,Sales,Sales Representative,10/20/2014,5200,1,0.34,1,PhD,1,9,No,14,23,Plovdiv,No
4555,Female,22,Internal Audit,Audit Analyst,09/03/2010,8000,4,0,4.4,Bachelor's,1,14,Yes,10,66,Varna,Yes
3109,Female,30,Retail Banking,Retail Banker,01/06/2017,6300,5,0.18,4.9,Bachelor's,1,7,Yes,0,78,Burgas,Yes
9594,Male,48,Retail Banking,Retail Sales Advisor,07/08/2011,8700,5,0.02,5,High School,2,13,Yes,6,59,Plovdiv,No
3083,Female,44,Human Resources,HR Manager,05/03/2015,4500,2,0.21,1.9,Master's,1,9,No,7,51,Burgas,Yes
2223,Female,28,Fraud Prevention,Fraud Analyst,03/03/2019,7100,4,0.12,3,Master's,3,5,No,9,3,Ruse,No
5090,Male,28,Legal,Paralegal,5/30/2013,1400,1,0.25,1,Bachelor's,8,11,No,4,62,Plovdiv,Yes
7684,Male,31,Business Transformation,Change Manager,07/08/2021,5600,1,0.22,1,High School,3,3,No,2,30,Plovdiv,No
7004,Male,57,Corporate Banking,Account Manager,9/26/2023,6600,2,0.35,1.8,Master's,6,1,No,11,9,Varna,No
7703,Male,45,Business Transformation,Change Manager,07/06/2020,8300,2,0.32,2.4,Master's,7,4,No,12,72,Ruse,Yes
5836,Female,53,Digital Banking,Digital Banking Specialist,4/24/2020,7700,5,0.06,5,Master's,3,4,Yes,19,46,Ruse,Yes
8388,Female,30,Mortgage Services,Mortgage Advisor,2/24/2023,4700,2,0.41,1.4,PhD,8,1,No,17,26,Ruse,No
7835,Male,47,Loan Servicing,Loan Processor,07/01/2012,9000,5,0.01,5,PhD,1,12,No,15,60,Ruse,No
9228,Male,29,Wealth Management,Portfolio Manager,05/11/2023,9300,5,0.06,5,Master's,3,1,No,13,18,Burgas,Yes
6305,Male,54,Sales,Sales Manager,7/14/2023,5800,2,0.34,1.7,High School,6,1,Yes,12,61,Plovdiv,No
1744,Female,43,Loan Servicing,Loan Underwriter,12/11/2009,8700,4,0.08,3.9,High School,1,14,No,12,12,Burgas,Yes
3371,Male,27,Trade Finance,Trade Analyst,6/24/2019,9700,4,0.02,5,High School,1,5,Yes,1,64,Varna,Yes
8605,Male,59,Retail Banking,Team Leader,1/17/2015,5100,5,0.1,5,PhD,2,9,No,16,60,Varna,No
5540,Female,36,Sales,Sales Representative,12/15/2011,7500,5,0.1,4.5,High School,1,12,No,7,39,Burgas,Yes
9778,Female,42,Customer Support,Customer Service Manager,9/19/2011,4700,1,0.37,1,High School,2,13,No,2,69,Varna,Yes
7953,Male,36,Operations,Operations Manager,06/11/2020,8700,3,0.2,2.5,Bachelor's,9,4,No,0,35,Ruse,No
1102,Female,46,IT,IT Manager,12/01/2018,5900,2,0.28,1.7,PhD,5,5,No,1,79,Ruse,Yes
9917,Female,57,Fraud Prevention,Fraud Analyst,1/23/2016,6600,5,0.16,5,Master's,2,8,Yes,14,5,Varna,No
4732,Female,54,Product Management,Product Analyst,7/21/2016,8100,4,0.06,4.6,High School,1,8,No,12,11,Varna,Yes
3318,Male,30,Operations,Data Entry Clerk,05/03/2015,4600,2,0.24,1.8,PhD,8,9,Yes,4,0,Ruse,No
5956,Male,33,Collection,Collection Agent,03/05/2019,5000,2,0.23,1.2,High School,1,5,Yes,14,38,Varna,No
7150,Female,55,Security,Security Analyst,10/23/2022,6300,5,0.1,5,Master's,2,1,No,13,53,Varna,Yes
3108,Female,47,IT,IT Support,6/18/2023,5300,2,0.35,2.5,High School,4,1,No,7,36,Burgas,No
9437,Female,53,IT,System Administrator,1/27/2016,9700,5,0.04,5,Bachelor's,2,8,No,4,1,Varna,Yes
9777,Female,22,Digital Banking,Online Banking Manager,04/04/2019,5600,1,0.4,1,High School,2,5,No,2,54,Ruse,No
2510,Female,34,Finance,Finance Manager,10/26/2013,8300,3,0.04,3.6,Master's,5,10,No,13,29,Varna,Yes
2965,Male,43,Collection,Debt Recovery Specialist,04/02/2016,5100,2,0.3,1.7,PhD,9,8,Yes,9,52,Burgas,Yes
8239,Female,42,Corporate Banking,Credit Analyst,11/22/2017,4800,4,0.16,3.8,High School,1,6,No,19,78,Burgas,Yes
2795,Female,51,Corporate Banking,Financial Analyst,12/03/2015,6200,3,0.2,3.3,Master's,1,8,Yes,7,41,Burgas,Yes
8675,Male,48,Product Management,Product Manager,05/09/2015,7100,5,0.01,5,Bachelor's,2,9,No,11,67,Burgas,Yes
5285,Male,47,Marketing,Marketing Analyst,12/29/2010,7100,4,0.13,3.2,PhD,2,13,Yes,14,1,Varna,Yes
8345,Male,33,Internal Audit,Audit Manager,09/04/2011,7400,4,0.14,3.3,High School,2,13,Yes,9,69,Ruse,Yes
6883,Male,38,Digital Banking,Digital Banking Specialist,12/18/2009,6900,4,0.06,3.7,Bachelor's,1,14,No,5,16,Ruse,Yes
7852,Female,33,Risk Management,Regulatory Affairs Specialist,12/07/2011,10100,5,0.01,4.9,Bachelor's,2,12,Yes,19,65,Plovdiv,No
3957,Female,52,Operations,Back Office Specialist,11/06/2023,7700,3,0.16,3.5,High School,2,0,Yes,10,10,Varna,No
9475,Male,38,IT,System Administrator,3/23/2012,3500,2,0.39,2,Master's,2,12,No,5,33,Sofia,Yes
5142,Female,49,Customer Support,Customer Support Representative,12/17/2019,5000,3,0.19,3.1,PhD,8,4,No,14,9,Sofia,No
4782,Male,57,Loan Servicing,Loan Underwriter,5/24/2019,3800,1,0.27,1,PhD,7,5,No,19,31,Varna,No
5448,Male,35,Loan Servicing,Loan Underwriter,3/24/2019,3600,1,0.23,1,Bachelor's,6,5,No,4,78,Ruse,No
9550,Male,23,Customer Support,Technical Support Specialist,8/13/2020,5700,2,0.32,2,PhD,5,4,Yes,15,77,Burgas,Yes
1975,Female,59,Security,Cybersecurity Specialist,10/17/2013,2600,2,0.2,2,High School,7,10,No,5,10,Plovdiv,No
8519,Female,23,Human Resources,HR Manager,12/06/2009,8300,4,0.12,4.1,PhD,3,14,Yes,19,59,Sofia,No
8322,Male,22,Human Resources,Training Coordinator,9/21/2012,6000,2,0.35,2,PhD,8,12,No,18,56,Burgas,No
1044,Female,22,Human Resources,HR Manager,09/02/2017,8100,4,0.18,4.1,Master's,3,7,Yes,8,45,Sofia,No
3624,Female,27,Treasury,Liquidity Specialist,2/27/2023,8700,4,0.13,5,PhD,3,1,Yes,16,16,Sofia,Yes
8613,Female,38,Internal Audit,Internal Auditor,08/09/2010,5800,2,0.2,1.7,High School,9,14,No,5,39,Ruse,No
1173,Male,55,Human Resources,HR Manager,12/21/2018,5900,2,0.47,1.7,Master's,3,5,Yes,17,29,Ruse,Yes
4069,Female,42,Digital Banking,Digital Banking Specialist,04/03/2013,3000,1,0.35,1,PhD,3,11,No,16,31,Plovdiv,Yes
1135,Female,26,Treasury,Treasury Analyst,05/03/2011,6100,2,0.45,1.5,PhD,5,13,No,7,32,Burgas,Yes
2765,Female,38,Marketing,Communications Specialist,07/12/2014,7700,5,0.14,5,Bachelor's,2,10,Yes,18,70,Ruse,Yes
3210,Female,53,Collection,Collection Agent,7/14/2021,1400,1,0.28,1,Bachelor's,1,3,No,2,7,Burgas,No
3402,Female,35,Business Transformation,Business Analyst,2/14/2011,8200,5,0.17,5,Master's,2,13,Yes,2,34,Varna,Yes
1848,Female,33,Operations,Back Office Specialist,5/21/2021,5300,2,0.44,1.3,PhD,3,3,No,9,49,Sofia,No
2575,Female,25,Risk Management,Risk Manager,4/21/2012,3000,1,0.47,1.1,PhD,9,12,Yes,4,15,Ruse,No
9493,Female,36,Retail Banking,Retail Sales Advisor,10/22/2013,4300,1,0.36,1,PhD,3,10,No,19,58,Sofia,Yes
9052,Female,33,Human Resources,HR Specialist,10/18/2014,6400,2,0.44,2.5,Master's,1,9,No,10,76,Varna,No
6543,Female,35,Operations,Data Entry Clerk,12/07/2022,3600,2,0.35,1.4,PhD,9,1,No,13,53,Plovdiv,Yes
3472,Male,40,Digital Banking,Digital Product Manager,8/17/2012,3300,1,0.29,2,Master's,9,12,No,15,23,Varna,No
9806,Male,38,Fraud Prevention,Fraud Investigator,9/22/2022,8800,4,0.07,4,High School,3,2,Yes,16,21,Sofia,Yes
9496,Female,35,Internal Audit,Audit Manager,10/27/2020,7500,2,0.41,2,Master's,5,3,Yes,4,8,Burgas,Yes
4871,Female,35,Mortgage Services,Mortgage Officer,6/20/2019,4600,2,0.29,2.9,High School,5,5,Yes,13,53,Ruse,No
8623,Female,37,IT,Software Developer,8/27/2021,7800,4,0,4.4,Master's,1,3,No,12,15,Burgas,Yes
8579,Female,41,Mortgage Services,Mortgage Underwriter,4/16/2011,5100,4,0.05,4.7,Bachelor's,3,13,Yes,4,53,Plovdiv,Yes
6125,Male,50,Sales,Sales Representative,10/10/2022,5200,1,0.42,1.5,Master's,5,1,No,9,40,Ruse,Yes
7346,Female,26,Marketing,Marketing Analyst,08/08/2024,7100,3,0.06,3.2,High School,4,0,Yes,1,65,Ruse,Yes
6411,Male,53,Finance,Financial Analyst,1/26/2015,10200,5,0.09,5,Master's,2,9,No,9,64,Ruse,No
6349,Male,46,Fraud Prevention,Fraud Prevention Manager,9/23/2014,9400,5,0.09,4.8,Master's,3,10,Yes,17,43,Sofia,Yes
2034,Female,40,Collection,Collection Manager,5/15/2024,6800,4,0.07,3.5,High School,2,0,No,7,22,Ruse,Yes
2632,Female,49,Business Transformation,Business Analyst,7/19/2012,8300,4,0.07,4.6,PhD,1,12,No,13,17,Ruse,Yes
1632,Female,43,Wealth Management,Investment Banker,5/17/2010,8700,4,0.16,3.6,Bachelor's,1,14,Yes,4,36,Burgas,Yes
8334,Female,31,Business Transformation,Business Analyst,07/11/2023,6800,2,0.24,1.9,Bachelor's,1,1,No,9,27,Burgas,No
8997,Female,47,Human Resources,Training Coordinator,01/09/2018,2800,2,0.3,1.7,High School,7,6,No,16,71,Ruse,Yes
5086,Male,56,Human Resources,Recruiter,8/20/2015,8600,5,0.07,4.8,Bachelor's,2,9,Yes,11,37,Plovdiv,Yes
4041,Male,57,IT,Software Developer,7/18/2015,4900,2,0.46,1.7,Bachelor's,7,9,Yes,0,20,Sofia,Yes
1897,Female,44,Product Management,Product Analyst,11/01/2011,4300,2,0.39,2.1,Master's,4,12,No,11,31,Burgas,No
6358,Male,43,Product Management,Product Manager,05/06/2014,5600,2,0.25,1.9,PhD,2,10,Yes,13,33,Plovdiv,No
8022,Male,52,Human Resources,HR Specialist,2/23/2019,3200,1,0.26,1,Master's,4,5,No,10,78,Varna,No
6149,Male,58,Sales,Sales Manager,7/17/2019,5800,2,0.3,2.3,High School,9,5,No,12,36,Ruse,No
9256,Female,32,Business Transformation,Project Manager,3/23/2023,3900,1,0.21,1,Bachelor's,4,1,No,9,62,Plovdiv,No
9680,Female,56,Collection,Debt Recovery Specialist,04/05/2014,7400,3,0.09,3,Master's,8,10,Yes,4,62,Ruse,Yes
4485,Male,47,Wealth Management,Financial Advisor,7/23/2013,7100,3,0.12,3.9,Bachelor's,6,11,No,5,76,Burgas,Yes
3615,Female,49,Operations,Data Entry Clerk,7/13/2015,5800,2,0.3,1.8,Master's,8,9,No,3,64,Burgas,Yes
6529,Female,30,Treasury,Treasury Analyst,12/20/2022,8100,5,0,5,Master's,1,1,No,0,48,Sofia,Yes
8081,Male,37,Loan Servicing,Loan Servicing Specialist,6/22/2011,9400,4,0.06,4.6,Master's,1,13,Yes,10,35,Burgas,Yes
1244,Male,40,Finance,Accountant,07/01/2016,6500,4,0.19,3.5,High School,1,8,No,18,21,Burgas,Yes
2627,Male,57,Digital Banking,Digital Banking Specialist,02/05/2012,5200,2,0.21,2,Bachelor's,9,12,No,1,35,Burgas,No
2971,Male,25,Sales,Sales Representative,3/28/2017,8500,5,0.04,4.9,Master's,3,7,No,11,17,Plovdiv,Yes
6109,Male,42,Collection,Debt Recovery Specialist,7/15/2014,3200,1,0.24,1,Bachelor's,6,10,No,11,56,Varna,No
5988,Female,49,Retail Banking,Service Manager,03/06/2021,7800,3,0.14,3.5,Bachelor's,2,3,No,0,74,Plovdiv,No
1751,Male,45,Operations,Operations Analyst,07/01/2012,6700,4,0.04,4.1,PhD,3,12,Yes,12,8,Ruse,Yes
6705,Male,30,Internal Audit,Audit Manager,12/02/2014,8000,2,0.25,2.4,High School,5,9,No,2,40,Varna,Yes
4078,Female,49,Compliance,AML Officer,4/16/2012,8900,5,0.01,4.8,Bachelor's,2,12,No,15,40,Plovdiv,Yes
7608,Male,56,Corporate Banking,Corporate Banker,07/06/2013,7100,2,0.38,1.3,PhD,8,11,No,18,33,Sofia,Yes
1122,Male,40,Trade Finance,Trade Analyst,2/16/2018,3600,2,0.22,2.1,Master's,9,6,No,14,51,Burgas,No
7303,Female,30,Sales,Sales Consultant,11/14/2010,2800,1,0.39,1,High School,2,13,No,4,65,Burgas,No
4630,Female,53,Collection,Collection Manager,8/19/2018,7900,4,0.15,4,Bachelor's,1,6,Yes,12,58,Sofia,Yes
5481,Female,51,IT,Software Developer,12/01/2020,1400,1,0.43,1.5,Bachelor's,3,3,No,19,19,Sofia,No
8398,Female,49,IT,System Administrator,3/29/2024,10700,5,0.17,5,PhD,2,0,Yes,1,66,Varna,No
1252,Male,44,Wealth Management,Investment Banker,6/20/2019,4100,1,0.31,1,PhD,1,5,No,15,79,Sofia,Yes
6718,Female,34,Trade Finance,Trade Analyst,9/30/2019,4900,1,0.27,1,PhD,4,5,No,11,14,Varna,No
7821,Male,29,Retail Banking,Service Manager,10/13/2017,4700,2,0.3,1.8,Master's,6,6,No,4,2,Varna,Yes
1190,Male,43,Corporate Banking,Corporate Finance Associate,11/23/2015,9700,5,0.11,5,Bachelor's,1,8,Yes,3,53,Plovdiv,No
6617,Female,51,Trade Finance,Trade Analyst,6/19/2010,6100,5,0.12,4.8,High School,3,14,Yes,13,75,Ruse,Yes
1390,Male,50,Mortgage Services,Mortgage Officer,1/28/2018,4100,2,0.37,3.3,PhD,9,6,No,13,30,Ruse,No
2094,Female,34,Sales,Sales Consultant,08/02/2024,4500,1,0.22,2.2,High School,4,0,No,12,6,Sofia,No
8517,Female,51,Sales,Sales Manager,4/24/2019,3300,1,0.21,1.4,High School,7,5,Yes,14,68,Plovdiv,Yes
9937,Male,56,Customer Support,Customer Support Representative,6/16/2015,5400,1,0.48,1,PhD,7,9,No,16,63,Burgas,No
7862,Female,27,Security,Cybersecurity Specialist,01/09/2016,3200,1,0.46,1,Bachelor's,6,8,No,17,68,Sofia,Yes
9325,Female,22,Sales,Sales Representative,8/23/2017,6300,5,0.18,5,High School,1,7,Yes,15,8,Burgas,Yes
4806,Male,43,IT,Software Developer,8/26/2017,7100,3,0.12,3.4,PhD,7,7,No,8,54,Plovdiv,No
6477,Male,56,Risk Management,Regulatory Affairs Specialist,03/08/2011,3200,1,0.45,1,Master's,3,13,No,9,6,Ruse,Yes
2023,Female,23,IT,Software Developer,01/01/2020,5600,3,0.16,2.8,High School,9,4,Yes,4,52,Sofia,No
2431,Male,45,Product Management,Product Development Specialist,03/10/2022,8200,3,0.05,2.7,High School,7,2,No,2,54,Burgas,No
5019,Female,40,Fraud Prevention,Fraud Prevention Manager,10/08/2013,4300,1,0.44,1,High School,3,10,No,13,48,Burgas,No
8645,Male,28,Customer Support,Customer Service Manager,6/26/2019,7300,2,0.35,1.8,High School,3,5,No,3,26,Ruse,Yes
5159,Male,27,Corporate Banking,Financial Analyst,07/12/2011,6700,3,0,3.4,Bachelor's,9,13,No,18,45,Ruse,No
1816,Female,26,Finance,Finance Manager,1/29/2017,2900,1,0.37,1,Master's,4,7,No,18,15,Burgas,Yes
8486,Male,34,Business Transformation,Project Manager,8/26/2024,2400,1,0.43,1.2,Master's,4,0,Yes,2,13,Plovdiv,No
4807,Male,53,Human Resources,Recruiter,8/18/2015,9300,4,0.07,3.6,High School,1,9,No,10,43,Plovdiv,No
6494,Female,43,Retail Banking,Retail Banker,3/27/2013,6000,2,0.38,2.3,PhD,3,11,Yes,1,47,Ruse,No
4475,Female,24,Security,Cybersecurity Specialist,11/29/2010,3800,1,0.36,1,Bachelor's,3,13,No,0,3,Sofia,Yes
8990,Female,43,Retail Banking,Relationship Manager,6/18/2021,7500,3,0.07,3.1,High School,9,3,No,11,14,Varna,No
3331,Female,39,Trade Finance,Trade Analyst,10/09/2015,4400,2,0.34,2.1,PhD,2,8,Yes,5,19,Burgas,Yes
3533,Male,54,Mortgage Services,Mortgage Underwriter,8/14/2013,4300,3,0.18,3.4,PhD,2,11,No,2,45,Sofia,No
6652,Female,32,Digital Banking,Digital Product Manager,06/03/2020,5300,2,0.29,2.2,PhD,8,4,No,0,47,Sofia,Yes
8085,Male,59,Business Transformation,Business Analyst,1/25/2021,6600,4,0.06,3.4,PhD,3,3,Yes,8,5,Varna,No
2790,Female,22,Trade Finance,Trade Finance Manager,01/07/2010,8400,5,0.13,5,Master's,1,14,Yes,5,71,Plovdiv,Yes
5190,Male,47,Mortgage Services,Mortgage Underwriter,6/18/2015,6500,3,0.07,3.4,PhD,6,9,Yes,7,10,Burgas,No
6503,Male,58,Marketing,Marketing Analyst,08/02/2017,1400,1,0.39,1,Bachelor's,5,7,No,7,24,Burgas,No
5752,Male,22,Digital Banking,Digital Product Manager,12/07/2009,4000,2,0.3,2.6,Master's,7,14,Yes,17,17,Varna,Yes
5089,Female,40,Product Management,Product Development Specialist,5/16/2016,4700,3,0.14,3.1,High School,8,8,No,12,59,Varna,Yes
5429,Female,27,IT,System Administrator,12/01/2010,9100,4,0.07,4,High School,2,13,Yes,8,51,Ruse,Yes
7345,Male,53,Wealth Management,Investment Banker,1/22/2023,5300,3,0.19,2.9,PhD,2,1,No,14,66,Plovdiv,No
1421,Female,49,Risk Management,Risk Manager,07/06/2016,5100,4,0.02,4.6,Bachelor's,3,8,No,14,27,Ruse,Yes
7272,Female,26,Internal Audit,Audit Manager,07/11/2024,5000,3,0.02,2.8,High School,5,0,No,13,28,Ruse,No
1402,Male,44,Internal Audit,Internal Auditor,01/04/2011,4600,2,0.45,2.3,High School,6,13,No,8,9,Plovdiv,Yes
4063,Female,22,Human Resources,Recruiter,05/04/2018,7500,2,0.2,2.6,Bachelor's,8,6,No,16,76,Sofia,No
7763,Female,49,Trade Finance,Trade Analyst,7/19/2011,3500,1,0.48,1.6,High School,8,13,No,14,75,Varna,Yes
3952,Male,33,Business Transformation,Change Manager,02/06/2015,4200,3,0.15,3,Master's,4,9,No,3,34,Sofia,No
2359,Male,50,IT,Software Developer,10/31/2016,10600,5,0.02,5,High School,3,7,Yes,0,6,Plovdiv,Yes
2912,Female,59,Internal Audit,Internal Auditor,4/15/2021,4600,2,0.42,2.7,High School,7,3,Yes,14,52,Varna,Yes
2880,Male,27,Operations,Operations Manager,11/08/2023,6300,4,0.13,3.9,Master's,1,0,No,0,52,Burgas,Yes
1574,Female,46,Finance,Finance Manager,08/09/2014,5200,2,0.3,2.3,High School,3,10,Yes,8,53,Ruse,No
9065,Male,23,Collection,Debt Recovery Specialist,12/28/2013,4800,2,0.34,2,High School,7,10,No,4,3,Sofia,Yes
4612,Male,33,Mortgage Services,Mortgage Advisor,10/05/2022,5100,4,0.18,3.8,Master's,1,1,No,17,5,Ruse,Yes
1450,Female,36,Loan Servicing,Loan Underwriter,11/30/2020,6400,1,0.48,1,High School,2,3,No,1,8,Ruse,Yes
5366,Female,49,Fraud Prevention,Fraud Analyst,1/14/2016,4800,3,0.07,2.7,Bachelor's,9,8,Yes,13,27,Varna,Yes
2052,Male,44,Wealth Management,Investment Banker,11/24/2011,7300,3,0.07,2.1,PhD,7,12,No,18,16,Burgas,No
1739,Female,59,Back Office,Back Office Clerk,07/01/2019,3700,2,0.22,2.3,High School,8,5,No,1,69,Ruse,Yes
6976,Male,51,Trade Finance,Trade Analyst,11/14/2012,4800,2,0.44,1.6,High School,7,11,Yes,9,14,Sofia,No
6541,Female,43,Security,Security Officer,8/21/2013,6300,3,0.02,3.2,PhD,7,11,No,7,1,Ruse,No
6447,Female,38,Customer Support,Customer Service Manager,6/24/2024,7800,4,0,3,Bachelor's,2,0,Yes,11,6,Burgas,Yes
1436,Female,44,Fraud Prevention,Fraud Analyst,3/19/2015,3700,3,0.02,2.8,High School,9,9,Yes,11,55,Ruse,No
8355,Female,56,Collection,Collection Manager,12/30/2016,4500,5,0.08,4.5,PhD,1,7,Yes,19,65,Burgas,Yes
